date,channel,signups
2025-03-05,Referral,13
2025-03-06,Organic,77
2025-03-06,Paid,27
2025-03-06,Referral,13
2025-03-07,Organic,49
2025-03-07,Paid,25
2025-03-07,Referral,11
2025-03-08,Organic,24
2025-03-08,Paid,22
2025-03-08,Referral,8
2025-03-09,Organic,18
2025-03-09,Paid,25
2025-03-09,Referral,8
2025-03-10,Organic,45
2025-03-10,Paid,22
2025-03-10,Referral,10
2025-03-11,Organic,72
2025-03-11,Paid,16
2025-03-11,Referral,14
2025-03-12,Organic,47
2025-03-12,Paid,10
2025-03-12,Referral,10
2025-03-13,Organic,43
2025-03-13,Paid,22
2025-03-13,Referral,9
2025-03-14,Organic,65
2025-03-14,Paid,13
2025-03-14,Referral,12
2025-03-15,Organic,19
2025-03-15,Paid,16
2025-03-15,Referral,8
2025-03-16,Organic,29
2025-03-16,Paid,11
2025-03-16,Referral,9
2025-03-17,Organic,63
2025-03-17,Paid,17
2025-03-17,Referral,10
2025-03-18,Organic,56
2025-03-18,Paid,17
2025-03-18,Referral,13
2025-03-19,Organic,66
2025-03-19,Paid,25
2025-03-19,Referral,15
2025-03-20,Organic,85
2025-03-20,Paid,21
2025-03-20,Referral,11
2025-03-21,Organic,76
2025-03-21,Paid,25
2025-03-21,Referral,13
2025-03-22,Organic,27
2025-03-22,Paid,24
2025-03-22,Referral,10
2025-03-23,Organic,27
2025-03-23,Paid,16
2025-03-23,Referral,7
2025-03-24,Organic,45
2025-03-24,Paid,22
2025-03-24,Referral,10
2025-03-25,Organic,61
2025-03-25,Paid,18
2025-03-25,Referral,15
2025-03-26,Organic,83
2025-03-26,Paid,46
2025-03-26,Referral,16
2025-03-27,Organic,49
2025-03-27,Paid,107
2025-03-27,Referral,15
2025-03-28,Organic,81
2025-03-28,Paid,144
2025-03-28,Referral,10
2025-03-29,Organic,27
2025-03-29,Paid,96
2025-03-29,Referral,7
2025-03-30,Organic,19
2025-03-30,Paid,92
2025-03-30,Referral,8
2025-03-31,Organic,84
2025-03-31,Paid,147
2025-03-31,Referral,12
2025-04-01,Organic,81
2025-04-01,Paid,112
2025-04-01,Referral,16
2025-04-02,Organic,85
2025-04-02,Paid,80
2025-04-02,Referral,13
2025-04-03,Organic,56
2025-04-03,Paid,93
2025-04-03,Referral,15
2025-04-04,Organic,48
2025-04-04,Paid,44
2025-04-04,Referral,11
2025-04-05,Organic,29
2025-04-05,Paid,62
2025-04-05,Referral,6
2025-04-06,Organic,27
2025-04-06,Paid,54
2025-04-06,Referral,8
2025-04-07,Organic,65
2025-04-07,Paid,132
2025-04-07,Referral,11
2025-04-09,Organic,48
2025-04-09,Paid,12
2025-04-09,Referral,15
2025-04-10,Organic,92
2025-04-10,Paid,27
2025-04-10,Referral,11
2025-04-11,Organic,60
2025-04-11,Paid,27
2025-04-11,Referral,12
2025-04-12,Organic,25
2025-04-12,Paid,15
2025-04-12,Referral,8
2025-04-13,Organic,21
2025-04-13,Paid,12
2025-04-13,Referral,9
2025-04-14,Organic,48
2025-04-14,Paid,28
2025-04-14,Referral,14
2025-04-15,Organic,61
2025-04-15,Paid,8
2025-04-15,Referral,11
2025-04-16,Organic,85
2025-04-16,Paid,20
2025-04-16,Referral,15
2025-04-17,Organic,95
2025-04-17,Paid,21
2025-04-17,Referral,17
2025-04-18,Organic,94
2025-04-18,Paid,18
2025-04-18,Referral,17
2025-04-19,Organic,23
2025-04-19,Paid,12
2025-04-19,Referral,9
2025-04-20,Organic,30
2025-04-20,Paid,23
2025-04-20,Referral,9
2025-04-21,Organic,83
2025-04-21,Paid,25
2025-04-21,Referral,16
2025-04-22,Organic,83
2025-04-22,Paid,13
2025-04-22,Referral,12
2025-04-23,Organic,93
2025-04-23,Paid,21
2025-04-23,Referral,17
2025-04-24,Organic,90
2025-04-24,Paid,11
2025-04-24,Referral,12
2025-04-25,Organic,77
2025-04-25,Paid,14
2025-04-25,Referral,18
2025-04-26,Organic,24
2025-04-26,Paid,18
2025-04-26,Referral,10
2025-04-27,Organic,31
2025-04-27,Paid,21
2025-04-27,Referral,7
2025-04-28,Organic,68
2025-04-28,Paid,25
2025-04-28,Referral,18
2025-04-29,Organic,96
2025-04-29,Paid,11
2025-04-29,Referral,18
2025-04-30,Organic,100
2025-04-30,Paid,18
2025-04-30,Referral,12
2025-05-01,Organic,77
2025-05-01,Paid,28
2025-05-01,Referral,16
2025-05-02,Organic,97
2025-05-02,Paid,18
2025-05-02,Referral,14
2025-05-03,Organic,28
2025-05-03,Paid,24
2025-05-03,Referral,10
2025-05-04,Organic,32
2025-05-04,Paid,14
2025-05-04,Referral,8
2025-05-05,Organic,58
2025-05-05,Paid,18
2025-05-05,Referral,16
2025-05-06,Organic,81
2025-05-06,Paid,15
2025-05-06,Referral,14
2025-05-07,Organic,68
2025-05-07,Paid,66
2025-05-07,Referral,15
2025-05-08,Organic,85
2025-05-08,Paid,140
2025-05-08,Referral,14
2025-05-09,Organic,79
2025-05-09,Paid,126
2025-05-09,Referral,13
2025-05-10,Organic,33
2025-05-10,Paid,64
2025-05-10,Referral,9
2025-05-11,Organic,26
2025-05-11,Paid,83
2025-05-11,Referral,10
2025-05-12,Organic,105
2025-05-12,Paid,70
2025-05-12,Referral,16
2025-05-13,Organic,80
2025-05-13,Paid,142
2025-05-13,Referral,14
2025-05-14,Organic,104
2025-05-14,Paid,124
2025-05-14,Referral,13
2025-05-15,Organic,106
2025-05-15,Paid,47
2025-05-15,Referral,16
2025-05-16,Organic,95
2025-05-16,Paid,75
2025-05-16,Referral,16
2025-05-17,Organic,31
2025-05-17,Paid,79
2025-05-17,Referral,9
2025-05-18,Organic,38
2025-05-18,Paid,60
2025-05-18,Referral,10
2025-05-19,Organic,64
2025-05-19,Paid,121
2025-05-19,Referral,15
2025-05-20,Organic,93
2025-05-20,Paid,102
2025-05-20,Referral,15
2025-05-21,Organic,104
2025-05-21,Paid,21
2025-05-21,Referral,14
2025-05-22,Organic,76
2025-05-22,Paid,11
2025-05-22,Referral,17
2025-05-23,Organic,56
2025-05-23,Paid,27
2025-05-23,Referral,12
2025-05-24,Organic,26
2025-05-24,Paid,23
2025-05-24,Referral,11
2025-05-26,Organic,71
2025-05-26,Paid,19
2025-05-26,Referral,20
2025-05-27,Organic,84
2025-05-27,Paid,23
2025-05-27,Referral,17
2025-05-28,Organic,77
2025-05-28,Paid,25
2025-05-28,Referral,18
2025-05-29,Organic,83
2025-05-29,Paid,18
2025-05-29,Referral,19
2025-05-30,Organic,81
2025-05-30,Paid,19
2025-05-30,Referral,13
2025-05-31,Organic,26
2025-05-31,Paid,24
2025-05-31,Referral,11
2025-06-01,Organic,33
2025-06-01,Paid,10
2025-06-01,Referral,10
2025-06-02,Organic,61
2025-06-02,Paid,13
2025-06-02,Referral,20
2025-06-03,Organic,107
2025-06-03,Paid,22
2025-06-03,Referral,19
2025-06-04,Organic,104
2025-06-04,Paid,28
2025-06-04,Referral,15
2025-06-05,Organic,104
2025-06-05,Paid,16
2025-06-05,Referral,15
2025-06-06,Organic,68
2025-06-06,Paid,20
2025-06-06,Referral,15
2025-06-07,Organic,36
2025-06-07,Paid,15
2025-06-07,Referral,10
2025-06-08,Organic,38
2025-06-08,Paid,15
2025-06-08,Referral,10
2025-06-09,Organic,76
2025-06-09,Paid,12
2025-06-09,Referral,13
2025-06-10,Organic,84
2025-06-10,Paid,11
2025-06-10,Referral,21
2025-06-11,Organic,64
2025-06-11,Paid,18
2025-06-11,Referral,20
2025-06-12,Organic,114
2025-06-12,Paid,24
2025-06-12,Referral,20
2025-06-13,Organic,115
2025-06-13,Paid,21
2025-06-13,Referral,14
2025-06-14,Organic,41
2025-06-14,Paid,15
2025-06-14,Referral,12
2025-06-15,Organic,29
2025-06-15,Paid,8
2025-06-15,Referral,9
2025-06-16,Organic,87
2025-06-16,Paid,13
2025-06-16,Referral,18
2025-06-17,Organic,65
2025-06-17,Paid,18
2025-06-17,Referral,21
2025-06-18,Organic,109
2025-06-18,Paid,141
2025-06-18,Referral,21
2025-06-19,Organic,116
2025-06-19,Paid,124
2025-06-19,Referral,14
2025-06-20,Organic,96
2025-06-20,Paid,82
2025-06-20,Referral,19
2025-06-21,Organic,29
2025-06-21,Paid,92
2025-06-21,Referral,11
2025-06-22,Organic,35
2025-06-22,Paid,62
2025-06-22,Referral,11
2025-06-23,Organic,119
2025-06-23,Paid,121
2025-06-23,Referral,18
2025-06-24,Organic,71
2025-06-24,Paid,49
2025-06-24,Referral,16
2025-06-25,Organic,119
2025-06-25,Paid,53
2025-06-25,Referral,16
2025-06-26,Organic,108
2025-06-26,Paid,96
2025-06-26,Referral,16
2025-06-27,Organic,91
2025-06-27,Paid,105
2025-06-27,Referral,18
2025-06-28,Organic,42
2025-06-28,Paid,72
2025-06-28,Referral,11
2025-06-29,Organic,33
2025-06-29,Paid,67
2025-06-29,Referral,9
2025-06-30,Organic,123
2025-06-30,Paid,121
2025-06-30,Referral,18
2025-07-01,Organic,115
2025-07-01,Paid,78
2025-07-01,Referral,18
2025-07-02,Organic,120
2025-07-02,Paid,27
2025-07-02,Referral,16
2025-07-03,Organic,83
2025-07-03,Paid,19
2025-07-03,Referral,15
2025-07-04,Organic,89
2025-07-04,Paid,20
2025-07-04,Referral,16
2025-07-05,Organic,44
2025-07-05,Paid,23
2025-07-05,Referral,12
2025-07-06,Organic,37
2025-07-06,Paid,9
2025-07-06,Referral,12
2025-07-07,Organic,121
2025-07-07,Paid,9
2025-07-07,Referral,21
2025-07-08,Organic,72
2025-07-08,Paid,20
2025-07-08,Referral,19
2025-07-09,Organic,112
2025-07-09,Paid,14
2025-07-09,Referral,20
2025-07-10,Organic,71
2025-07-10,Paid,10
2025-07-10,Referral,22
2025-07-12,Organic,38
2025-07-12,Paid,24
2025-07-12,Referral,12
2025-07-13,Organic,36
2025-07-13,Paid,21
2025-07-13,Referral,12
2025-07-14,Organic,96
2025-07-14,Paid,16
2025-07-14,Referral,21
2025-07-15,Organic,127
2025-07-15,Paid,28
2025-07-15,Referral,20
2025-07-16,Organic,67
2025-07-16,Paid,28
2025-07-16,Referral,19
2025-07-17,Organic,128
2025-07-17,Paid,9
2025-07-17,Referral,15
2025-07-18,Organic,121
2025-07-18,Paid,21
2025-07-18,Referral,17
2025-07-19,Organic,23
2025-07-19,Paid,14
2025-07-19,Referral,11
2025-07-20,Organic,29
2025-07-20,Paid,17
2025-07-20,Referral,13
2025-07-21,Organic,126
2025-07-21,Paid,26
2025-07-21,Referral,22
2025-07-22,Organic,125
2025-07-22,Paid,26
2025-07-22,Referral,22
2025-07-23,Organic,118
2025-07-23,Paid,10
2025-07-23,Referral,24
2025-07-24,Organic,73
2025-07-24,Paid,18
2025-07-24,Referral,20
2025-07-25,Organic,103
2025-07-25,Paid,16
2025-07-25,Referral,17
2025-07-26,Organic,29
2025-07-26,Paid,12
2025-07-26,Referral,10
2025-07-27,Organic,34
2025-07-27,Paid,17
2025-07-27,Referral,10
2025-07-28,Organic,130
2025-07-28,Paid,14
2025-07-28,Referral,20
2025-07-29,Organic,93
2025-07-29,Paid,18
2025-07-29,Referral,21
2025-07-30,Organic,88
2025-07-30,Paid,74
2025-07-30,Referral,19
2025-07-31,Organic,99
2025-07-31,Paid,96
2025-07-31,Referral,22
2025-08-01,Organic,73
2025-08-01,Paid,79
2025-08-01,Referral,20
2025-08-02,Organic,27
2025-08-02,Paid,88
2025-08-02,Referral,10
2025-08-03,Organic,37
2025-08-03,Paid,115
2025-08-03,Referral,13
2025-08-04,Organic,76
2025-08-04,Paid,145
2025-08-04,Referral,23
2025-08-05,Organic,85
2025-08-05,Paid,74
2025-08-05,Referral,18
2025-08-06,Organic,115
2025-08-06,Paid,142
2025-08-06,Referral,21
2025-08-07,Organic,103
2025-08-07,Paid,129
2025-08-07,Referral,16
2025-08-08,Organic,133
2025-08-08,Paid,145
2025-08-08,Referral,18
2025-08-09,Organic,49
2025-08-09,Paid,40
2025-08-09,Referral,11
2025-08-10,Organic,36
2025-08-10,Paid,59
2025-08-10,Referral,9
2025-08-11,Organic,139
2025-08-11,Paid,145
2025-08-11,Referral,23
2025-08-12,Organic,91
2025-08-12,Paid,139
2025-08-12,Referral,19
2025-08-13,Organic,94
2025-08-13,Paid,9
2025-08-13,Referral,17
2025-08-14,Organic,123
2025-08-14,Paid,13
2025-08-14,Referral,20
2025-08-15,Organic,87
2025-08-15,Paid,25
2025-08-15,Referral,25
2025-08-16,Organic,44
2025-08-16,Paid,16
2025-08-16,Referral,10
2025-08-17,Organic,51
2025-08-17,Paid,17
2025-08-17,Referral,13
2025-08-18,Organic,87
2025-08-18,Paid,26
2025-08-18,Referral,16
2025-08-19,Organic,107
2025-08-19,Paid,18
2025-08-19,Referral,22
2025-08-20,Organic,103
2025-08-20,Paid,17
2025-08-20,Referral,17
2025-08-21,Organic,114
2025-08-21,Paid,19
2025-08-21,Referral,25
2025-08-22,Organic,93
2025-08-22,Paid,21
2025-08-22,Referral,19
2025-08-23,Organic,29
2025-08-23,Paid,23
2025-08-23,Referral,15
2025-08-24,Organic,50
2025-08-24,Paid,13
2025-08-24,Referral,11
2025-08-25,Organic,127
2025-08-25,Paid,15
2025-08-25,Referral,25
2025-08-26,Organic,76
2025-08-26,Paid,19
2025-08-26,Referral,23
2025-08-28,Organic,78
2025-08-28,Paid,19
2025-08-28,Referral,20
2025-08-29,Organic,89
2025-08-29,Paid,19
2025-08-29,Referral,22
2025-08-30,Organic,53
2025-08-30,Paid,16
2025-08-30,Referral,15
2025-08-31,Organic,48
2025-08-31,Paid,21
2025-08-31,Referral,12
2025-09-01,Organic,77
2025-09-01,Paid,10
2025-09-01,Referral,19
2025-09-02,Organic,126
2025-09-02,Paid,9
2025-09-02,Referral,22
2025-09-03,Organic,99
2025-09-03,Paid,21
2025-09-03,Referral,26
2025-09-04,Organic,86
2025-09-04,Paid,11
2025-09-04,Referral,26
2025-09-05,Organic,87
2025-09-05,Paid,23
2025-09-05,Referral,19
2025-09-06,Organic,27
2025-09-06,Paid,15
2025-09-06,Referral,14
2025-09-07,Organic,36
2025-09-07,Paid,23
2025-09-07,Referral,13
2025-09-08,Organic,97
2025-09-08,Paid,12
2025-09-08,Referral,17
2025-09-09,Organic,147
2025-09-09,Paid,15
2025-09-09,Referral,23
2025-09-10,Organic,83
2025-09-10,Paid,131
2025-09-10,Referral,23
2025-09-11,Organic,142
2025-09-11,Paid,96
2025-09-11,Referral,19
2025-09-12,Organic,76
2025-09-12,Paid,139
2025-09-12,Referral,22
2025-09-13,Organic,55
2025-09-13,Paid,129
2025-09-13,Referral,11
2025-09-14,Organic,33
2025-09-14,Paid,120
2025-09-14,Referral,15
2025-09-15,Organic,150
2025-09-15,Paid,117
2025-09-15,Referral,23
2025-09-16,Organic,88
2025-09-16,Paid,61
2025-09-16,Referral,17
2025-09-17,Organic,133
2025-09-17,Paid,130
2025-09-17,Referral,20
2025-09-18,Organic,121
2025-09-18,Paid,50
2025-09-18,Referral,23
2025-09-19,Organic,132
2025-09-19,Paid,52
2025-09-19,Referral,21
2025-09-20,Organic,53
2025-09-20,Paid,131
2025-09-20,Referral,15
2025-09-21,Organic,48
2025-09-21,Paid,52
2025-09-21,Referral,16
2025-09-22,Organic,121
2025-09-22,Paid,104
2025-09-22,Referral,17
2025-09-23,Organic,147
2025-09-23,Paid,59
2025-09-23,Referral,18
2025-09-24,Organic,106
2025-09-24,Paid,25
2025-09-24,Referral,28
2025-09-25,Organic,120
2025-09-25,Paid,26
2025-09-25,Referral,23
2025-09-26,Organic,117
2025-09-26,Paid,22
2025-09-26,Referral,22
2025-09-27,Organic,28
2025-09-27,Paid,14
2025-09-27,Referral,14
2025-09-28,Organic,39
2025-09-28,Paid,9
2025-09-28,Referral,13
2025-09-29,Organic,116
2025-09-29,Paid,25
2025-09-29,Referral,28
2025-09-30,Organic,118
2025-09-30,Paid,26
2025-09-30,Referral,18
2025-10-01,Organic,154
2025-10-01,Paid,13
2025-10-01,Referral,19
2025-10-02,Organic,96
2025-10-02,Paid,13
2025-10-02,Referral,17
2025-10-03,Organic,88
2025-10-03,Paid,10
2025-10-03,Referral,26
2025-10-04,Organic,49
2025-10-04,Paid,21
2025-10-04,Referral,11
2025-10-05,Organic,45
2025-10-05,Paid,15
2025-10-05,Referral,16
2025-10-06,Organic,111
2025-10-06,Paid,8
2025-10-06,Referral,22
2025-10-07,Organic,100
2025-10-07,Paid,28
2025-10-07,Referral,21
2025-10-08,Organic,104
2025-10-08,Paid,20
2025-10-08,Referral,25
2025-10-09,Organic,160
2025-10-09,Paid,13
2025-10-09,Referral,27
2025-10-10,Organic,167
2025-10-10,Paid,27
2025-10-10,Referral,21
2025-10-11,Organic,40
2025-10-11,Paid,8
2025-10-11,Referral,14
2025-10-12,Organic,31
2025-10-12,Paid,8
2025-10-12,Referral,11
2025-10-14,Organic,144
2025-10-14,Paid,21
2025-10-14,Referral,23
2025-10-15,Organic,151
2025-10-15,Paid,17
2025-10-15,Referral,23
2025-10-16,Organic,167
2025-10-16,Paid,15
2025-10-16,Referral,18
2025-10-17,Organic,153
2025-10-17,Paid,18
2025-10-17,Referral,21
2025-10-18,Organic,50
2025-10-18,Paid,13
2025-10-18,Referral,15
2025-10-19,Organic,54
2025-10-19,Paid,17
2025-10-19,Referral,12
2025-10-20,Organic,152
2025-10-20,Paid,19
2025-10-20,Referral,19
2025-10-21,Organic,101
2025-10-21,Paid,15
2025-10-21,Referral,29
2025-10-22,Organic,163
2025-10-22,Paid,137
2025-10-22,Referral,21
2025-10-23,Organic,123
2025-10-23,Paid,139
2025-10-23,Referral,22
2025-10-24,Organic,136
2025-10-24,Paid,44
2025-10-24,Referral,28
2025-10-25,Organic,30
2025-10-25,Paid,58
2025-10-25,Referral,13
2025-10-26,Organic,52
2025-10-26,Paid,125
2025-10-26,Referral,15
2025-10-27,Organic,94
2025-10-27,Paid,87
2025-10-27,Referral,21
2025-10-28,Organic,85
2025-10-28,Paid,116
2025-10-28,Referral,22
2025-10-29,Organic,130
2025-10-29,Paid,114
2025-10-29,Referral,26
2025-10-30,Organic,108
2025-10-30,Paid,85
2025-10-30,Referral,21
2025-10-31,Organic,156
2025-10-31,Paid,143
2025-10-31,Referral,21
2025-11-01,Organic,59
2025-11-01,Paid,115
2025-11-01,Referral,13
2025-11-02,Organic,61
2025-11-02,Paid,88
2025-11-02,Referral,13
2025-11-03,Organic,112
2025-11-03,Paid,106
2025-11-03,Referral,28
2025-11-04,Organic,178
2025-11-04,Paid,107
2025-11-04,Referral,26
2025-11-05,Organic,116
2025-11-05,Paid,24
2025-11-05,Referral,22
2025-11-06,Organic,172
2025-11-06,Paid,27
2025-11-06,Referral,26
2025-11-07,Organic,164
2025-11-07,Paid,13
2025-11-07,Referral,24
2025-11-08,Organic,51
2025-11-08,Paid,9
2025-11-08,Referral,18
2025-11-09,Organic,50
2025-11-09,Paid,17
2025-11-09,Referral,14
2025-11-10,Organic,162
2025-11-10,Paid,9
2025-11-10,Referral,27
2025-11-11,Organic,105
2025-11-11,Paid,8
2025-11-11,Referral,27
2025-11-12,Organic,103
2025-11-12,Paid,21
2025-11-12,Referral,24
2025-11-13,Organic,125
2025-11-13,Paid,26
2025-11-13,Referral,19
2025-11-14,Organic,173
2025-11-14,Paid,21
2025-11-14,Referral,26
2025-11-15,Organic,57
2025-11-15,Paid,8
2025-11-15,Referral,15
2025-11-16,Organic,57
2025-11-16,Paid,14
2025-11-16,Referral,17
2025-11-17,Organic,166
2025-11-17,Paid,10
2025-11-17,Referral,29
2025-11-18,Organic,138
2025-11-18,Paid,16
2025-11-18,Referral,25
2025-11-19,Organic,129
2025-11-19,Paid,22
2025-11-19,Referral,27
2025-11-20,Organic,113
2025-11-20,Paid,27
2025-11-20,Referral,23
2025-11-21,Organic,98
2025-11-21,Paid,14
2025-11-21,Referral,26
2025-11-22,Organic,42
2025-11-22,Paid,23
2025-11-22,Referral,13
2025-11-23,Organic,60
2025-11-23,Paid,18
2025-11-23,Referral,16
2025-11-24,Organic,168
2025-11-24,Paid,27
2025-11-24,Referral,26
2025-11-25,Organic,146
2025-11-25,Paid,16
2025-11-25,Referral,20
2025-11-26,Organic,118
2025-11-26,Paid,15
2025-11-26,Referral,25
2025-11-27,Organic,131
2025-11-27,Paid,26
2025-11-27,Referral,23
2025-11-28,Organic,130
2025-11-28,Paid,19
2025-11-28,Referral,32
2025-11-30,Organic,44
2025-11-30,Paid,19
2025-11-30,Referral,14
2025-12-01,Organic,174
2025-12-01,Paid,25
2025-12-01,Referral,32
2025-12-02,Organic,118
2025-12-02,Paid,11
2025-12-02,Referral,21
2025-12-03,Organic,149
2025-12-03,Paid,64
2025-12-03,Referral,22
2025-12-04,Organic,186
2025-12-04,Paid,147
2025-12-04,Referral,26
2025-12-05,Organic,120
2025-12-05,Paid,77
2025-12-05,Referral,22
2025-12-06,Organic,50
2025-12-06,Paid,103
2025-12-06,Referral,16
2025-12-07,Organic,35
2025-12-07,Paid,122
2025-12-07,Referral,14
2025-12-08,Organic,159
2025-12-08,Paid,49
2025-12-08,Referral,31
2025-12-09,Organic,124
2025-12-09,Paid,109
2025-12-09,Referral,31
2025-12-10,Organic,167
2025-12-10,Paid,78
2025-12-10,Referral,21
2025-12-11,Organic,168
2025-12-11,Paid,65
2025-12-11,Referral,29
2025-12-12,Organic,142
2025-12-12,Paid,59
2025-12-12,Referral,21
2025-12-13,Organic,66
2025-12-13,Paid,123
2025-12-13,Referral,16
2025-12-14,Organic,50
2025-12-14,Paid,127
2025-12-14,Referral,17
2025-12-15,Organic,120
2025-12-15,Paid,132
2025-12-15,Referral,33
2025-12-16,Organic,157
2025-12-16,Paid,97
2025-12-16,Referral,24
2025-12-17,Organic,159
2025-12-17,Paid,15
2025-12-17,Referral,28
2025-12-18,Organic,110
2025-12-18,Paid,24
2025-12-18,Referral,24
2025-12-19,Organic,195
2025-12-19,Paid,24
2025-12-19,Referral,24
2025-12-20,Organic,58
2025-12-20,Paid,8
2025-12-20,Referral,18
2025-12-21,Organic,61
2025-12-21,Paid,13
2025-12-21,Referral,20
2025-12-22,Organic,110
2025-12-22,Paid,27
2025-12-22,Referral,21
2025-12-23,Organic,145
2025-12-23,Paid,16
2025-12-23,Referral,27
2025-12-24,Organic,179
2025-12-24,Paid,21
2025-12-24,Referral,22
2025-12-25,Organic,96
2025-12-25,Paid,22
2025-12-25,Referral,20
2025-12-26,Organic,194
2025-12-26,Paid,26
2025-12-26,Referral,33
2025-12-27,Organic,69
2025-12-27,Paid,15
2025-12-27,Referral,12
2025-12-28,Organic,43
2025-12-28,Paid,19
2025-12-28,Referral,14
2025-12-29,Organic,111
2025-12-29,Paid,18
2025-12-29,Referral,29
2025-12-30,Organic,140
2025-12-30,Paid,24
2025-12-30,Referral,30
2025-12-31,Organic,171
2025-12-31,Paid,10
2025-12-31,Referral,27
