account,segment,seats,monthly_spend
ACC-1350,Mid-market,416,27008
ACC-1351,SMB,60,2639
ACC-1352,SMB,52,1423
ACC-1353,SMB,87,2405
ACC-1354,SMB,86,4228
ACC-1355,SMB,45,1285
ACC-1356,Enterprise,498,24378
ACC-1357,Enterprise,453,27684
ACC-1358,SMB,59,1883
ACC-1359,SMB,86,2132
ACC-1360,Enterprise,411,23492
ACC-1361,Enterprise,479,26856
ACC-1362,Startup,26,803
ACC-1363,Mid-market,227,13626
ACC-1364,Startup,31,1571
ACC-1365,SMB,10,441
ACC-1366,Enterprise,208,13719
ACC-1367,Mid-market,219,12222
ACC-1368,Mid-market,185,11498
ACC-1369,SMB,20,795
ACC-1370,SMB,32,1095
ACC-1371,Mid-market,473,33244
ACC-1372,SMB,20,610
ACC-1373,Startup,44,2208
ACC-1374,Enterprise,217,12803
ACC-1375,Startup,83,3615
ACC-1376,Mid-market,246,14583
ACC-1377,Startup,9,278
ACC-1378,Enterprise,239,11245
ACC-1379,SMB,39,1651
ACC-1380,Mid-market,399,25369
ACC-1381,SMB,85,2922
ACC-1382,Startup,73,2994
ACC-1383,Enterprise,201,13635
ACC-1384,Mid-market,393,27004
ACC-1385,SMB,73,3228
ACC-1386,SMB,51,2262
ACC-1387,Startup,82,2706
ACC-1388,SMB,84,2503
ACC-1389,SMB,47,2263
ACC-1390,Enterprise,221,13806
ACC-1391,Enterprise,336,21419
ACC-1392,Mid-market,438,20480
ACC-1393,SMB,54,1687
ACC-1394,Mid-market,303,14057
ACC-1395,Startup,15,706
ACC-1396,Startup,96,3495
ACC-1397,Startup,31,1483
ACC-1398,Startup,95,2246
ACC-1399,Mid-market,140,9523
ACC-1400,Enterprise,378,24184
ACC-1401,SMB,23,980
ACC-1402,Startup,33,1130
ACC-1403,Enterprise,387,24145
ACC-1404,Mid-market,238,13364
ACC-1405,Mid-market,275,17903
ACC-1406,Startup,13,434
ACC-1407,Enterprise,384,25938
ACC-1408,Enterprise,190,9717
ACC-1409,Startup,9,242
ACC-1410,SMB,32,1347
ACC-1411,Enterprise,261,17720
ACC-1412,Enterprise,494,24442
ACC-1413,SMB,30,1301
ACC-1414,Startup,44,1957
ACC-1415,Mid-market,335,22712
ACC-1416,SMB,34,901
ACC-1417,Startup,39,1818
ACC-1418,Mid-market,430,29658
ACC-1419,Startup,71,1611
